Año,Trimestre,Provincia,Accesos por cada 100 hogares
2021,2,Neuquén,69.14021084638621
2021,2,Río Negro,61.94204057417748
2021,2,Salta,54.930090174788894
2021,2,San Juan,39.28402570062062
2021,2,San Luis,83.47810720063075
2021,2,Santa Cruz,44.01491665543425
2021,2,Santa Fe,75.06878626293008
2021,2,Santiago Del Estero,46.557275364921054
2021,2,Tierra Del Fuego,67.88580775229184
2021,2,Tucumán,54.928196510348045
2021,1,Buenos Aires,69.10524076185938
2021,1,Capital Federal,108.4199392232935
2021,1,Catamarca,48.899092927848244
2021,1,Chaco,43.13649241708794
2021,1,Chubut,68.9942808881567
2021,1,Córdoba,78.59028062380018
2021,1,Corrientes,42.664128438821415
2021,1,Entre Ríos,60.439449728342346
2021,1,Formosa,32.732955756327215
2021,1,Jujuy,55.63244789620541
2021,1,La Pampa,81.77676345752207
2021,1,La Rioja,49.80693519079345
2021,1,Mendoza,39.153661528996416
2021,1,Misiones,43.172438905971845
2021,1,Neuquén,66.84208942045272
2021,1,Río Negro,60.87924030325769
2021,1,Salta,53.93001926339093
2021,1,San Juan,39.055194335357605
2021,1,San Luis,81.23730177127507
2021,1,Santa Cruz,41.64783103990742
2021,1,Santa Fe,73.91656407026184
2021,1,Santiago Del Estero,45.67308282365455
2021,1,Tierra Del Fuego,77.34935609177366
2021,1,Tucumán,54.81892254125389
2020,4,Buenos Aires,68.97702220170737
2020,4,Capital Federal,108.31107489043508
2020,4,Catamarca,49.40688354549741
2020,4,Chaco,43.030788649779105
2020,4,Chubut,68.35189915825622
2020,4,Córdoba,78.07960876338194
2020,4,Corrientes,42.42828394694903
2020,4,Entre Ríos,59.47430676097378
2020,4,Formosa,32.487381907596735
2020,4,Jujuy,53.45659123390888
2020,4,La Pampa,81.76793248945148
2020,4,La Rioja,50.11061211701148
2020,4,Mendoza,38.62957896227819
2020,4,Misiones,42.64411416119227
2020,4,Neuquén,67.00234522048092
2020,4,Río Negro,61.088615480454756
2020,4,Salta,54.04275200147659
2020,4,San Juan,36.32088215575813
2020,4,San Luis,81.67947806105701
2020,4,Santa Cruz,36.99957245908797
2020,4,Santa Fe,73.58073807267776
2020,4,Santiago Del Estero,43.749256620689934
2020,4,Tierra Del Fuego,76.26583496977399
2020,4,Tucumán,54.78340441369959
2020,3,Buenos Aires,67.65618983090923
2020,3,Capital Federal,107.6759011657323
2020,3,Catamarca,47.15709898417198
2020,3,Chaco,41.54192057806515
2020,3,Chubut,68.34389815720037
2020,3,Córdoba,75.22035723669207
2020,3,Corrientes,41.750749470464434
2020,3,Entre Ríos,58.1901640924315
2020,3,Formosa,31.905623310186538
2020,3,Jujuy,54.04441923820905
2020,3,La Pampa,79.26447706670275
2020,3,La Rioja,50.118113236302676
2020,3,Mendoza,37.348633137232696
2020,3,Misiones,41.60448628544863
2020,3,Neuquén,65.24417025530218
2020,3,Río Negro,57.052405915845014
2020,3,Salta,52.31571212848803
2020,3,San Juan,38.78995525412846
2020,3,San Luis,79.96172209417188
2020,3,Santa Cruz,35.95152890784452
2020,3,Santa Fe,72.12060247348236
2020,3,Santiago Del Estero,43.37593131691913
2020,3,Tierra Del Fuego,76.80909583946696
2020,3,Tucumán,53.2281495112899
2020,2,Buenos Aires,65.2205801358229
2020,2,Capital Federal,106.41480599073645
2020,2,Catamarca,45.43181818181818
2020,2,Chaco,39.83250279006581
2020,2,Chubut,57.344613387235526
2020,2,Córdoba,72.71358531242393
2020,2,Corrientes,40.30476267979574
2020,2,Entre Ríos,56.538654739709614
2020,2,Formosa,31.1394362262631
2020,2,Jujuy,47.887810227872784
2020,2,La Pampa,76.10158288987562
2020,2,La Rioja,49.83993501839552
2020,2,Mendoza,36.25224342110005
2020,2,Misiones,40.88779600969606
2020,2,Neuquén,63.898469033764314
2020,2,Río Negro,56.369335248791955
2020,2,Salta,51.58158335340357
2020,2,San Juan,35.09485776365026
2020,2,San Luis,78.4096773527651
2020,2,Santa Cruz,35.79262396979603
2020,2,Santa Fe,70.002168637187
2020,2,Santiago Del Estero,43.46716682468362
2020,2,Tierra Del Fuego,76.36948260742473
2020,2,Tucumán,51.78074091030483
2020,1,Buenos Aires,64.32563101743429
2020,1,Capital Federal,105.98017414181909
2020,1,Catamarca,37.615427687460254
2020,1,Chaco,37.483833369172615
2020,1,Chubut,51.26848941909703
2020,1,Córdoba,70.6880744339108
2020,1,Corrientes,38.729079942230904
2020,1,Entre Ríos,56.12006051437216
2020,1,Formosa,30.228303962606848
2020,1,Jujuy,46.670230639987786
2020,1,La Pampa,75.76678781291396
2020,1,La Rioja,46.346631384166976
2020,1,Mendoza,33.14207670017271
2020,1,Misiones,39.01834755171205
2020,1,Neuquén,61.84749362355069
2020,1,Río Negro,55.11566865962362
2020,1,Salta,49.59568027012866
2020,1,San Juan,32.392292136304725
2020,1,San Luis,76.30854184641933
2020,1,Santa Cruz,35.97427628896549
2020,1,Santa Fe,69.52357940253133
2020,1,Santiago Del Estero,42.466359187991806
2020,1,Tierra Del Fuego,76.06964979018785
2020,1,Tucumán,47.84792325850032
2019,4,Buenos Aires,64.25205288245421
2019,4,Capital Federal,106.24546751041055
2019,4,Catamarca,36.43842912715547
2019,4,Chaco,36.835478630342415
2019,4,Chubut,51.145017855147124
2019,4,Córdoba,70.48295566244217
2019,4,Corrientes,38.767440989262106
2019,4,Entre Ríos,57.99221691704514
2019,4,Formosa,30.471313480544048
2019,4,Jujuy,45.37754633175065
2019,4,La Pampa,76.92418969170417
2019,4,La Rioja,47.13589011052434
2019,4,Mendoza,33.64903072027183
2019,4,Misiones,39.78923684048622
2019,4,Neuquén,59.35590092822445
2019,4,Río Negro,55.70500968287489
2019,4,Salta,50.35463892238824
2019,4,San Juan,32.85497572815534
2019,4,San Luis,74.92002603481464
2019,4,Santa Cruz,36.71136308535834
2019,4,Santa Fe,69.48235725596862
2019,4,Santiago Del Estero,42.92077382358182
2019,4,Tierra Del Fuego,79.69536136377089
2019,4,Tucumán,47.64902012521289
2019,3,Buenos Aires,69.35630106079125
2019,3,Capital Federal,112.6453878037209
2019,3,Catamarca,30.883614526737205
2019,3,Chaco,35.8460309754608
2019,3,Chubut,47.56624162293312
2019,3,Córdoba,68.59234901069021
2019,3,Corrientes,38.48535113586719
2019,3,Entre Ríos,57.90009945796624
2019,3,Formosa,30.11243299777749
2019,3,Jujuy,44.322486842913605
2019,3,La Pampa,77.45269423291748
2019,3,La Rioja,47.94290512174643
2019,3,Mendoza,40.73714258735342
2019,3,Misiones,39.33292986744382
2019,3,Neuquén,64.13887269491578
2019,3,Río Negro,63.42470088700958
2019,3,Salta,44.47617792228716
2019,3,San Juan,37.06231303554226
2019,3,San Luis,85.22608876849344
2019,3,Santa Cruz,35.62816097885956
2019,3,Santa Fe,68.87178057593026
2019,3,Santiago Del Estero,55.30391146854541
2019,3,Tierra Del Fuego,96.46210963092378
2019,3,Tucumán,39.487600204016815
2019,2,Buenos Aires,67.84713982374198
2019,2,Capital Federal,110.54556699485231
2019,2,Catamarca,32.13095022019278
2019,2,Chaco,34.14026097986763
2019,2,Chubut,46.98798413626923
2019,2,Córdoba,68.07130938789848
2019,2,Corrientes,38.15558588418795
2019,2,Entre Ríos,57.47823458872391
2019,2,Formosa,30.418236006943307
2019,2,Jujuy,44.511922790626045
2019,2,La Pampa,77.08313750288404
2019,2,La Rioja,48.704939144243156
2019,2,Mendoza,40.754624235362655
2019,2,Misiones,39.14612554169944
2019,2,Neuquén,63.080964327674394
2019,2,Río Negro,61.0942074999118
2019,2,Salta,41.89319832036978
2019,2,San Juan,35.59971733748176
2019,2,San Luis,81.789994425864
2019,2,Santa Cruz,28.846063055322123
2019,2,Santa Fe,67.42291993321949
2019,2,Santiago Del Estero,52.78997126317105
2019,2,Tierra Del Fuego,94.79803428023493
2019,2,Tucumán,40.13604621420884
2019,1,Buenos Aires,66.24255522736811
2019,1,Capital Federal,109.19616455883845
2019,1,Catamarca,32.190488956121285
2019,1,Chaco,32.635876579429485
2019,1,Chubut,42.99773633717796
2019,1,Córdoba,65.5173840768055
2019,1,Corrientes,35.13498688698812
2019,1,Entre Ríos,56.78815996169284
2019,1,Formosa,29.677694630431926
2019,1,Jujuy,46.40843874036665
2019,1,La Pampa,76.35457433780647
2019,1,La Rioja,50.184587883262736
2019,1,Mendoza,37.657164970282864
2019,1,Misiones,36.25716826552349
2019,1,Neuquén,58.87800433437489
2019,1,Río Negro,53.57164978100252
2019,1,Salta,40.09834441771615
2019,1,San Juan,31.833058053465464
2019,1,San Luis,67.3379373977716
2019,1,Santa Cruz,23.66765499676892
2019,1,Santa Fe,66.97409094791476
2019,1,Santiago Del Estero,37.519416746003905
2019,1,Tierra Del Fuego,93.37581922721242
2019,1,Tucumán,41.63074443134759
2018,4,Buenos Aires,64.60284663484316
2018,4,Capital Federal,108.27314997057414
2018,4,Catamarca,32.225346166025346
2018,4,Chaco,32.59096087632982
2018,4,Chubut,42.61093609604538
2018,4,Córdoba,65.08926459112368
2018,4,Corrientes,34.56627656869549
2018,4,Entre Ríos,54.37477348639939
2018,4,Formosa,29.73653915732
2018,4,Jujuy,46.53226639132679
2018,4,La Pampa,73.49404828314209
2018,4,La Rioja,50.347993917417234
2018,4,Mendoza,37.757783845911696
2018,4,Misiones,34.4507488777944
2018,4,Neuquén,59.06916926636779
2018,4,Río Negro,51.86140345426057
2018,4,Salta,39.801610069738146
2018,4,San Juan,31.89625207025579
2018,4,San Luis,67.55045369760039
2018,4,Santa Cruz,23.68919410065612
2018,4,Santa Fe,65.58706886191564
2018,4,Santiago Del Estero,37.40072595129344
2018,4,Tierra Del Fuego,93.59257086207943
2018,4,Tucumán,41.75796963877769
2018,3,Buenos Aires,64.44056759752046
2018,3,Capital Federal,108.44591411021922
2018,3,Catamarca,32.91594537411041
2018,3,Chaco,32.283100833077576
2018,3,Chubut,56.391745852269025
2018,3,Córdoba,64.24210026029336
2018,3,Corrientes,34.24993887383215
2018,3,Entre Ríos,50.222013858377494
2018,3,Formosa,29.576573428878444
2018,3,Jujuy,23.263700137195517
2018,3,La Pampa,71.75023651844843
2018,3,La Rioja,50.73304318059562
2018,3,Mendoza,37.990597267996215
2018,3,Misiones,32.10366641805902
2018,3,Neuquén,60.48661674396911
